Drosera	Droseraceae	genus	茅膏菜屬
Ficus subg. Urostigma	Ficus	subgenus	榕亞屬
Ficus subsect. Conosycea	Ficus sect. Urostigma	subsectio	环纹榕亚组
Panicoideae	PACMAD	subfamilia	黍亚科
Andropogoneae	Andropogonodae	tribus	鬚芒草族
Coicinae	Andropogoneae	subtribus	薏苡属
Coix	Coicinae	genus	薏苡属
Rafflesiaceae	Malpighiales	familia	大花草科
Rafflesia	Rafflesiaceae	genus	大花草屬
Euphorbioideae	Euphorbiaceae	subfamilia	大戟亚科
Myrtaceae	Myrtales	familia	桃金孃科
Myrtoideae	Myrtaceae	subfamilia	桃金娘亚科
Myrteae	Myrtoideae	tribus	桃金娘族
Psidium	Myrteae	genus	番石榴属
Psidium sect. Psidium	Psidium	sectio	番石榴组
Psiloxyloideae	Myrtaceae	subfamilia	裸木亚科
Psiloxyleae	Psiloxyloideae	tribus	裸木
Psiloxylon	Psiloxyleae	genus	裸木
Heteropyxideae	Psiloxyloideae	tribus	异裂果属
Heteropyxis	Heteropyxideae	genus	异裂果属
Syzygieae	Myrtoideae	tribus	蒲桃属
Syzygium	Syzygieae	genus	蒲桃属
Syzygium subg. Syzygium	Syzygium	subgenus	蒲桃亚属
Syzygium sect. Jambosa	Syzygium subg. Syzygium	sectio	蒲桃组
Syzygium sect. Syzygium	Syzygium subg. Syzygium	sectio	小花蒲桃组
Syzygium ser. Oblata	Syzygium sect. Syzygium	series	高檐蒲桃系
Clusiaceae	Malpighiales	familia	藤黄科
Hypericaceae	Malpighiales	familia	金絲桃科
Garcinieae	Clusiaceae	tribus	藤黄族
Garcinia	Garcinieae	genus	藤黄属
Clusieae	Clusiaceae	tribus	书带木族
Clusia	Clusieae	genus	书带木属
Hypericeae	Hypericaceae	tribus	金丝桃族
Hypericum	Hypericeae	genus	金丝桃属
Brassicaceae	Brassicales	familia	十字花科
Acacieae	Mimosoideae	tribus	金合欢族
Maianthemum	Nolinoideae	genus	舞鹤草属
Nolinoideae	Asparagaceae	subfamilia	玲花蕉亞科
Lauraceae	Laurales	familia	樟科
Cinnamomum	Cinnamomeae	genus	肉桂属
Cinnamomeae	Lauraceae	tribus	樟族
Litchi	Sapindoideae	genus	荔枝属
Dimocarpus	Sapindoideae	genus	龙眼属
Lycium	Lyciinae	genus	枸杞属
Pinophyta	Acrogymnospermae	divisio	松柏門
Pinopsida	Pinophyta	classis	松柏門
Dianella	Hemerocallidoideae	genus	山菅属
Hemerocallidoideae	Asphodelaceae	subfamilia!	萱草亞科
Asphodelaceae	Asparagales	familia	阿福花科
Hygrophila	Hygrophilinae	genus	水蓑衣属
Meliaceae	Sapindales	familia	楝科
Melia	Melieae	genus	楝屬
Pinales	Pinopsida	ordo	松柏目
Beaucarnea	Nolinoideae	genus	酒瓶兰属
Glycininae	Phaseoleae	subtribus	大豆亚族
